"","ODATEDW","OSOURCE","TCODE","STATE","ZIP","MAILCODE","PVASTATE","DOB","NOEXCH","RECINHSE","RECP3","RECPGVG","RECSWEEP","MDMAUD","DOMAIN","CLUSTER","AGE","AGEFLAG","HOMEOWNR","CHILD03","CHILD07","CHILD12","CHILD18","NUMCHLD","INCOME","GENDER","WEALTH1","HIT","MBCRAFT","MBGARDEN","MBBOOKS","MBCOLECT","MAGFAML","MAGFEM","MAGMALE","PUBGARDN","PUBCULIN","PUBHLTH","PUBDOITY","PUBNEWFN","PUBPHOTO","PUBOPP","DATASRCE","MALEMILI","MALEVET","VIETVETS","WWIIVETS","LOCALGOV","STATEGOV","FEDGOV","SOLP3","SOLIH","MAJOR","WEALTH2","GEOCODE","COLLECT1","VETERANS","BIBLE","CATLG","HOMEE","PETS","CDPLAY","STEREO","PCOWNERS","PHOTO","CRAFTS","FISHER","GARDENIN","BOATS","WALKER","KIDSTUFF","CARDS","PLATES","LIFESRC","PEPSTRFL","POP901","POP902","POP903","POP90C1","POP90C2","POP90C3","POP90C4","POP90C5","ETH1","ETH2","ETH3","ETH4","ETH5","ETH6","ETH7","ETH8","ETH9","ETH10","ETH11","ETH12","ETH13","ETH14","ETH15","ETH16","AGE901","AGE902","AGE903","AGE904","AGE905","AGE906","AGE907","CHIL1","CHIL2","CHIL3","AGEC1","AGEC2","AGEC3","AGEC4","AGEC5","AGEC6","AGEC7","CHILC1","CHILC2","CHILC3","CHILC4","CHILC5","HHAGE1","HHAGE2","HHAGE3","HHN1","HHN2","HHN3","HHN4","HHN5","HHN6","MARR1","MARR2","MARR3","MARR4","HHP1","HHP2","DW1","DW2","DW3","DW4","DW5","DW6","DW7","DW8","DW9","HV1","HV2","HV3","HV4","HU1","HU2","HU3","HU4","HU5","HHD1","HHD2","HHD3","HHD4","HHD5","HHD6","HHD7","HHD8","HHD9","HHD10","HHD11","HHD12","ETHC1","ETHC2","ETHC3","ETHC4","ETHC5","ETHC6","HVP1","HVP2","HVP3","HVP4","HVP5","HVP6","HUR1","HUR2","RHP1","RHP2","RHP3","RHP4","HUPA1","HUPA2","HUPA3","HUPA4","HUPA5","HUPA6","HUPA7","RP1","RP2","RP3","RP4","MSA","ADI","DMA","IC1","IC2","IC3","IC4","IC5","IC6","IC7","IC8","IC9","IC10","IC11","IC12","IC13","IC14","IC15","IC16","IC17","IC18","IC19","IC20","IC21","IC22","IC23","HHAS1","HHAS2","HHAS3","HHAS4","MC1","MC2","MC3","TPE1","TPE2","TPE3","TPE4","TPE5","TPE6","TPE7","TPE8","TPE9","PEC1","PEC2","TPE10","TPE11","TPE12","TPE13","LFC1","LFC2","LFC3","LFC4","LFC5","LFC6","LFC7","LFC8","LFC9","LFC10","OCC1","OCC2","OCC3","OCC4","OCC5","OCC6","OCC7","OCC8","OCC9","OCC10","OCC11","OCC12","OCC13","EIC1","EIC2","EIC3","EIC4","EIC5","EIC6","EIC7","EIC8","EIC9","EIC10","EIC11","EIC12","EIC13","EIC14","EIC15","EIC16","OEDC1","OEDC2","OEDC3","OEDC4","OEDC5","OEDC6","OEDC7","EC1","EC2","EC3","EC4","EC5","EC6","EC7","EC8","SEC1","SEC2","SEC3","SEC4","SEC5","AFC1","AFC2","AFC3","AFC4","AFC5","AFC6","VC1","VC2","VC3","VC4","ANC1","ANC2","ANC3","ANC4","ANC5","ANC6","ANC7","ANC8","ANC9","ANC10","ANC11","ANC12","ANC13","ANC14","ANC15","POBC1","POBC2","LSC1","LSC2","LSC3","LSC4","VOC1","VOC2","VOC3","HC1","HC2","HC3","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","MHUC1","MHUC2","AC1","AC2","ADATE_2","ADATE_3","ADATE_4","ADATE_5","ADATE_6","ADATE_7","ADATE_8","ADATE_9","ADATE_10","ADATE_11","ADATE_12","ADATE_13","ADATE_14","ADATE_15","ADATE_16","ADATE_17","ADATE_18","ADATE_19","ADATE_20","ADATE_21","ADATE_22","ADATE_23","ADATE_24","RFA_2","RFA_3","RFA_4","RFA_5","RFA_6","RFA_7","RFA_8","RFA_9","RFA_10","RFA_11","RFA_12","RFA_13","RFA_14","RFA_15","RFA_16","RFA_17","RFA_18","RFA_19","RFA_20","RFA_21","RFA_22","RFA_23","RFA_24","CARDPROM","MAXADATE","NUMPROM","CARDPM12","NUMPRM12","RDATE_3","RDATE_4","RDATE_5","RDATE_6","RDATE_7","RDATE_8","RDATE_9","RDATE_10","RDATE_11","RDATE_12","RDATE_13","RDATE_14","RDATE_15","RDATE_16","RDATE_17","RDATE_18","RDATE_19","RDATE_20","RDATE_21","RDATE_22","RDATE_23","RDATE_24","RAMNT_3","RAMNT_4","RAMNT_5","RAMNT_6","RAMNT_7","RAMNT_8","RAMNT_9","RAMNT_10","RAMNT_11","RAMNT_12","RAMNT_13","RAMNT_14","RAMNT_15","RAMNT_16","RAMNT_17","RAMNT_18","RAMNT_19","RAMNT_20","RAMNT_21","RAMNT_22","RAMNT_23","RAMNT_24","RAMNTALL","NGIFTALL","CARDGIFT","MINRAMNT","MINRDATE","MAXRAMNT","MAXRDATE","LASTGIFT","LASTDATE","FISTDATE","NEXTDATE","TIMELAG","AVGGIFT","CONTROLN","TARGET_B","HPHONE_D","RFA_2R","RFA_2F","RFA_2A","MDMAUD_R","MDMAUD_F","MDMAUD_A","CLUSTER2","GEOCODE2"
"1196",9401,"USB",1,"FL","33026"," "," ",5501,"0"," "," "," "," ","XXXX","S1",11,43,"E","H"," "," "," ","M",3,5,"M",8,8,2,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,32,31,39,12,2,3,NA,NA," ",NA,NA,"Y"," ","Y"," "," ","Y"," ","Y","Y","Y","Y"," "," "," "," "," "," "," ",3," ",18140,5397,7232,95,0,5,47,53,94,4,0,2,11,1,0,1,0,0,0,0,0,2,4,4,36,42,44,37,46,48,23,38,40,22,9,21,24,15,12,12,6,15,16,33,21,15,25,8,22,21,39,41,22,7,2,63,11,6,20,176,250,66,30,0,33,33,31,0,0,0,966,1097,6,6,84,16,92,8,51,34,75,62,27,87,13,7,1,6,11,20,4,17,58,19,1,3,0,4,11,45,79,99,1,2,37,50,52,14,4,9,24,0,7,1,7,0,83,91,93,94,2680,127,528,422,471,468,517,18877,11,14,13,23,23,11,3,1,1,6,13,12,24,26,13,4,1,1,28,2,54,4,54,46,18,86,11,0,0,0,0,0,1,1,1,45,30,32,5,81,68,75,62,73,60,72,57,94,99,3,15,18,4,16,23,0,3,6,1,7,1,2,2,1,0,5,7,9,4,8,14,11,5,2,2,8,8,6,7,12,2,3,5,74,5,0,139,4,8,26,24,10,19,9,6,19,2,16,7,0,0,0,16,32,1,31,11,39,8,0,3,1,5,0,0,5,8,0,3,0,5,1,1,0,15,24,83,11,0,6,98,60,13,4,11,4,23,48,98,99,0,29,7,9,0,89,1,0,0,97,3,96,99,99,9,3,5,6,9706,9606,9604,9604,9603,9602,9601,9511,NA,9510,9509,9507,9506,9504,9503,NA,9501,9411,NA,NA,NA,NA,9406,"L3E","A3E","A3E","A3E","A4E","A4E","A4E","A3E"," ","N3E","N3E","N3E","N2E","N2E","F1D"," ","F1D","F1D"," "," "," "," ","P1D",13,9702,28,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,9509,9508,NA,NA,9505,NA,9501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA,NA,10,NA,11,NA,NA,NA,NA,NA,NA,46,5,3,5,9407,11,9501,10,9509,9407,9501,6,9.2,36853,"0",0,"L",3,"E","X","X","X",19,"A"
"1897",9401,"CUL",0,"AL","36117"," "," ",4701,"0"," "," "," "," ","XXXX","T1",35,51,"E","H"," "," "," "," ",NA,4,"F",9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,36,50,27,6,14,9,NA,NA," ",NA,3," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",NA,"X",2286,667,746,52,0,48,51,49,78,17,0,4,1,1,0,2,0,1,0,0,0,0,0,0,37,43,47,36,44,49,23,31,39,30,17,12,23,23,15,8,3,10,12,31,23,24,18,3,15,10,37,53,31,9,4,68,4,3,25,214,289,97,94,0,0,0,0,5,5,0,1332,1330,7,6,90,10,93,7,2,41,89,82,37,90,10,4,1,3,6,8,1,13,54,11,3,12,2,4,31,80,94,97,0,0,91,74,74,15,3,0,0,3,9,0,0,1,70,70,72,73,5240,412,698,553,547,645,648,21032,4,3,11,17,35,19,4,5,3,3,4,9,19,33,20,4,5,3,19,1,54,3,49,51,18,85,13,0,0,0,0,0,2,0,1,6,19,20,1,74,66,70,61,69,57,68,55,99,99,1,23,22,2,15,14,0,3,8,1,4,0,4,3,2,1,3,7,5,3,2,17,10,2,3,1,8,17,9,10,6,14,9,4,57,8,1,160,3,3,15,20,5,27,28,6,22,2,16,10,2,3,1,21,36,1,50,36,27,9,0,15,0,4,0,0,4,1,0,2,0,0,0,0,0,6,53,89,3,3,4,99,88,32,6,14,8,21,34,92,97,3,0,0,81,1,18,0,0,0,99,2,91,99,99,10,3,9,7,9706,9606,9604,9604,9603,9602,9601,9511,NA,9510,9508,9507,9506,9504,9503,9502,9501,NA,NA,9410,9409,NA,9406,"L3E","S3E","S3E","S4E","S4E","S4E","S4E","S4D"," ","S4D","S4D","S4D","A4D","A4D","N3D","N2D","N2D"," "," ","F1C","F1C"," ","F1C",16,9702,34,6,13,NA,NA,NA,NA,NA,NA,9512,NA,9511,9509,NA,NA,NA,NA,NA,9503,NA,NA,NA,9410,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,7,10,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,45,8,5,3,9401,10,9509,5,9512,9401,9410,9,5.625,48793,"0",1,"L",3,"E","X","X","X",14,"B"
"925",8801,"DNA",1002,"SC","29445"," "," ",6401,"0"," "," "," "," ","XXXX","T2",38,34,"E","U"," "," "," "," ",1,3,"M",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,31,27,50,9,2,0,7,NA,NA," ",3,12," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",NA,"X",860,235,341,99,0,0,49,51,82,16,0,1,2,0,0,0,0,1,0,0,1,1,0,0,25,33,38,28,38,42,32,47,35,18,22,29,20,14,6,6,3,19,22,31,14,14,13,10,13,27,30,44,23,7,2,52,21,5,21,179,250,34,32,0,65,65,55,1,0,1,762,781,3,3,30,70,87,13,4,48,69,45,28,84,16,20,1,19,15,19,4,21,53,8,6,9,0,0,1,10,52,98,0,3,33,47,49,14,4,44,21,0,4,10,55,0,2,15,57,63,1440,423,519,241,275,275,306,10364,40,12,15,23,5,4,2,0,0,35,11,18,22,6,5,3,0,0,17,14,18,23,72,28,36,80,17,0,0,0,0,0,1,2,0,50,18,21,0,69,77,90,66,87,61,83,49,95,0,2,3,10,1,24,19,0,2,10,0,6,14,6,5,0,0,3,8,6,4,5,36,9,4,4,5,1,2,6,7,2,0,7,2,88,0,1,120,8,14,41,25,6,1,5,1,28,1,25,3,14,31,0,17,27,9,50,3,9,32,0,1,0,7,0,0,6,5,0,0,0,0,2,2,0,1,44,98,1,1,1,83,48,12,2,12,25,40,40,75,99,0,0,0,21,0,77,2,0,0,99,0,99,99,96,8,2,1,0,9706,9606,9604,NA,9603,9602,9601,9511,9510,9510,9508,9507,9506,9504,9503,9502,9501,9411,NA,NA,9409,9407,9406,"L3D","S3D","S3D"," ","S2D","S3D","S3D","S4D","S4D","S4D","S4D","S4D","S4D","S4D","S4D","S4D","S4D","S4C"," "," ","S4C","S3D","S4D",28,9702,57,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9508,NA,9505,NA,NA,NA,NA,NA,NA,9409,9408,9407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,5,3,3,101,27,17,2,9408,10,8802,5,9512,8802,8903,13,3.7407407407,23669,"0",0,"L",3,"D","X","X","X",24,"B"
"796",9101,"MCC",2,"MO","65560"," "," ",7401,"0"," "," "," "," ","XXXX","R3",53,24,"E","H"," "," "," "," ",NA,7,"F",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,33,24,41,8,5,3,NA,NA," ",1,NA," "," ","Y","Y","Y","Y"," "," ","Y"," "," ","Y"," ","Y"," "," "," "," ",2," ",12860,3694,5030,0,35,65,48,52,99,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,36,47,51,39,49,52,26,34,41,24,10,18,17,15,14,14,12,13,14,34,23,16,34,15,32,24,36,40,23,9,3,65,9,10,16,171,251,77,76,2,6,4,1,2,1,0,350,406,2,1,73,27,88,12,35,35,73,63,28,86,14,7,1,5,10,20,2,21,54,24,0,0,0,1,1,2,7,26,0,3,36,49,52,14,4,5,1,16,16,5,1,4,0,1,3,25,0,427,619,165,209,229,269,9176,46,22,13,11,6,2,1,0,1,34,25,16,13,7,2,1,0,1,39,12,34,25,46,54,9,73,20,0,0,0,0,0,3,5,1,24,15,23,7,47,52,61,43,57,38,57,46,52,70,16,10,8,3,10,11,0,1,13,6,11,11,9,7,7,2,7,18,4,1,6,20,5,3,3,1,8,8,3,5,8,6,3,13,64,5,1,120,25,21,33,12,1,5,3,1,22,1,19,2,0,0,0,16,33,1,24,25,41,8,0,6,1,10,0,0,6,1,0,0,0,0,0,0,0,1,77,97,1,0,1,91,56,18,6,25,1,6,14,44,62,38,0,0,1,37,16,10,0,36,47,50,38,97,91,9,2,7,7,9706,9606,9604,9604,9603,9602,9601,9511,9510,9509,9508,9507,9506,9504,9503,9502,9412,9411,NA,NA,9409,NA,9406,"L3G","A3G","A3G","A3G","A2G","A2G","A2G","A3G","A3G","A3G","A3G","A4G","A3G","A3G","A3G","A2G","A2G","A1G"," "," ","I3G"," ","L1F",23,9702,64,6,15,NA,NA,NA,NA,NA,9602,9512,NA,NA,NA,NA,NA,9505,NA,NA,NA,9412,NA,NA,9409,NA,9407,NA,NA,NA,NA,NA,33,27,NA,NA,NA,NA,NA,29,NA,NA,NA,27,NA,NA,21,NA,25,270,10,6,10,9112,50,9101,33,9602,9101,9110,9,27,103695,"0",0,"L",3,"G","X","X","X",62,"D"
"2265",9501,"ASE",0,"FL","34266"," "," ",2801,"0"," "," "," "," ","XXXX","R3",53,70,"I"," "," "," "," "," ",NA,NA,"F",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35,25,48,6,12,1,NA,NA," ",NA,NA," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1," ",1341,385,504,0,0,99,51,49,95,0,0,1,10,0,0,0,0,0,0,0,8,1,0,1,37,48,52,39,49,53,25,40,37,23,11,18,14,15,14,19,9,18,16,28,21,17,39,12,36,20,42,38,23,12,5,64,11,7,17,172,261,29,29,1,1,0,0,1,0,1,535,720,3,2,80,20,80,20,46,31,76,64,25,85,15,6,2,4,15,15,4,18,50,27,0,0,0,8,11,14,30,55,0,2,25,44,48,14,4,1,0,69,6,1,0,13,1,6,36,75,0,131,571,235,257,268,293,11580,27,26,22,13,9,2,0,0,0,26,20,23,16,13,3,0,0,0,34,7,38,13,57,43,19,72,23,0,0,0,0,0,3,3,0,18,18,22,5,61,61,66,55,65,55,88,61,99,99,0,4,8,4,7,11,0,4,20,12,12,2,6,9,21,2,10,7,2,1,2,27,0,0,1,2,16,0,3,5,5,12,0,6,78,0,0,120,12,25,41,11,3,4,5,1,11,0,10,1,0,0,0,20,38,0,31,15,50,0,0,10,0,8,0,0,6,4,0,0,0,0,0,0,0,3,42,86,8,5,2,94,50,20,4,13,13,26,49,79,95,5,0,0,2,16,76,7,0,0,15,85,12,99,82,8,2,10,9,9706,9606,NA,NA,9603,9602,9601,9511,9510,9510,9509,NA,9506,NA,9503,NA,NA,9409,NA,NA,NA,NA,NA,"L2G","A1D"," "," ","A1D","N1D","N1D","N1D","N1D","N1D","N1D"," ","F1D"," ","F1D"," "," ","P1D"," "," "," "," "," ",7,9702,20,4,10,NA,NA,NA,NA,9603,NA,NA,9511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,3,0,5,9412,25,9603,25,9603,9412,9511,11,12.333333333,42221,"0",0,"L",2,"G","X","X","X",57,"D"
"62",9301,"AGR",0,"GA","30319"," "," ",0,"0"," "," "," "," ","XXXX","S2",20,NA," ","U"," "," "," "," ",NA,5,"F",8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,29,26,37,5,2,5,NA,NA," ",8,NA," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",NA,"X",30058,7022,13301,99,0,0,48,52,77,16,0,4,7,1,0,1,0,1,1,0,3,0,1,3,32,37,41,36,42,46,18,45,36,19,15,29,21,11,9,8,7,19,17,30,18,16,21,10,19,33,35,31,16,6,2,45,13,7,35,147,224,49,46,2,50,48,41,1,1,0,1296,1623,5,5,46,54,89,11,1,23,53,40,17,68,32,6,1,5,23,30,14,10,52,15,3,11,1,25,43,64,87,97,10,5,41,54,53,12,4,25,25,0,9,10,35,0,46,74,88,90,520,197,524,367,470,468,576,23627,18,16,14,17,18,7,3,3,4,12,9,14,17,21,10,5,4,7,22,4,48,12,58,42,24,75,9,10,5,4,0,0,3,3,1,60,20,24,3,73,71,81,63,78,60,60,39,79,65,8,18,19,4,17,16,0,1,11,1,6,2,2,2,1,0,6,10,5,3,6,18,13,9,5,2,5,5,10,4,4,3,3,7,78,6,0,145,5,8,18,21,6,29,13,7,16,2,12,9,0,0,0,13,26,2,29,15,34,14,0,9,1,6,0,0,5,1,0,1,0,1,1,0,0,11,39,87,6,3,5,89,54,16,4,26,1,10,18,29,50,50,3,2,74,1,24,0,0,0,99,0,97,99,97,9,3,5,5,9706,9606,9604,9604,9603,9602,9601,9511,9510,9510,9508,9507,9506,NA,9503,9502,9501,9411,9411,9410,9409,9407,9406,"L4G","S4G","S4G","S4G","S4G","S2G","S2G","S2F","S2F","S2F","S2F","S2F","A1E"," ","A1E","S2E","S2E","A3E","A3E","A3E","A3E","A4F","A4F",18,9702,52,6,14,NA,NA,NA,NA,NA,NA,NA,NA,9510,NA,9508,NA,NA,9504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,30,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,182,11,5,10,9301,30,9508,25,9512,9301,9304,3,16.545454545,28342,"0",1,"L",4,"G","X","X","X",18,"A"
"1166",8901,"BHG",1,"CA","95828"," "," ",5605,"0"," "," "," "," ","XXXX","S2",18,42,"E","H"," "," "," "," ",NA,5,"M",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,30,57,13,9,17,7,NA,NA," ",5,12," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",1,"X",10329,2631,3086,99,0,1,49,51,64,7,1,24,11,1,1,4,8,1,7,0,8,0,0,3,27,34,35,27,38,40,36,45,39,16,11,40,27,10,6,4,2,19,18,34,17,12,9,1,6,10,26,64,43,20,9,66,8,3,22,267,331,97,96,0,0,0,0,0,0,0,1306,1334,7,6,89,11,91,9,2,58,85,72,49,92,8,9,2,7,10,9,5,20,41,4,2,5,0,3,22,88,98,99,1,0,70,58,60,18,5,0,0,3,10,0,0,0,80,89,91,95,6920,67,862,437,443,441,444,12928,8,9,14,36,28,3,2,0,0,6,9,12,39,30,3,0,0,0,11,9,39,10,80,20,13,78,18,1,1,1,0,0,2,1,0,9,23,27,4,78,72,80,65,75,62,61,45,63,99,14,10,17,4,8,23,0,4,10,1,10,3,4,4,1,0,5,9,4,4,6,13,10,4,2,0,9,6,6,21,9,17,7,3,59,6,0,137,5,6,27,29,12,17,5,4,32,3,23,10,1,2,1,16,30,2,57,9,13,25,0,4,1,5,1,0,2,2,0,0,1,0,1,0,0,20,55,72,5,20,3,99,79,21,2,4,22,77,95,98,99,1,0,0,53,2,44,0,0,1,98,2,97,99,99,10,2,3,3,9706,9606,9604,NA,9603,9602,9601,9511,9510,9510,9509,NA,9506,NA,9503,9502,9412,9411,NA,NA,9409,NA,9406,"L2F","A1F","A1F"," ","A1F","A1F","A1F","A2F","A1E","A1E","A1E"," ","A1E"," ","A2E","A2E","A2E","A1E"," "," ","A1E"," ","A1E",23,9702,51,5,12,NA,NA,NA,NA,9603,NA,NA,NA,NA,NA,NA,9507,NA,NA,NA,NA,NA,NA,NA,9409,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,90,7,6,10,9101,16,9507,16,9603,8903,8910,7,12.857142857,172121,"0",0,"L",2,"F","X","X","X",20,"B"
"2404",9001,"LKE",2,"KS","67062"," "," ",3801,"0"," "," "," "," ","XXXX","R2",44,60,"E","H"," "," "," "," ",NA,4,"F",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,18,40,22,6,3,2,NA,NA," ",5,NA," "," ","Y"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",2,"X",5719,1517,1907,0,53,47,51,49,97,1,0,1,2,0,0,0,0,0,0,0,1,0,0,1,32,41,45,35,44,50,27,35,43,21,18,18,21,14,11,9,9,12,16,34,20,18,24,9,23,19,36,45,31,12,3,66,4,5,25,187,274,75,73,3,13,10,6,8,2,7,585,620,2,2,71,29,95,5,11,40,80,74,36,83,17,4,1,3,11,12,2,22,57,18,0,1,0,0,2,8,22,66,0,2,60,63,61,14,4,11,2,11,13,6,6,3,1,3,27,63,9040,307,678,308,338,350,387,12887,19,19,22,22,14,1,1,0,2,10,20,23,26,16,2,2,0,2,24,4,54,8,41,59,14,76,8,0,0,0,0,0,8,8,2,20,13,18,3,47,70,78,62,75,59,72,66,76,99,3,18,9,2,7,15,0,1,13,8,12,7,4,4,11,0,6,21,3,1,2,10,4,3,2,0,12,16,5,4,6,3,2,14,56,19,1,132,7,8,28,24,7,16,9,10,24,2,20,12,0,0,0,9,18,0,40,15,22,6,1,3,0,42,0,0,2,0,0,0,0,0,0,1,0,3,68,93,2,1,4,97,73,30,8,25,1,3,12,41,57,43,0,0,43,24,23,1,1,7,64,36,56,99,98,9,3,4,7,9706,9606,9604,NA,9603,9602,9601,9511,9510,9510,9508,9507,9506,NA,9503,9502,9501,9411,NA,9410,9409,NA,9406,"L1F","A1F","A1F"," ","A1E","S2E","S2E","S2E","S2E","S2E","S2E","S2E","S2E"," ","A1E","L2E","L2E","L2E"," ","L2E","L2E"," ","L4E",23,9702,57,5,12,NA,NA,NA,NA,9603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9502,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,124,11,3,5,9207,25,9011,16,9603,9011,9107,8,11.272727273,105607,"0",0,"L",1,"F","X","X","X",43,"B"
"2351",8601,"FRC",0,"GA","30067"," "," ",0,"0"," "," "," "," ","XXXX","C2",27,NA," ","U"," "," "," "," ",NA,3,"F",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,15,39,0,3,2,2,NA,NA," ",NA,NA," "," "," ","Y"," "," "," ","Y"," "," "," "," "," "," "," "," "," "," ",3,"X",3440,678,1662,99,0,0,51,49,73,21,1,4,5,0,0,1,0,2,1,0,2,1,1,1,25,27,30,26,30,34,17,55,31,14,31,47,14,5,2,1,0,26,18,32,12,12,2,1,2,35,39,26,11,3,1,34,17,1,48,139,207,2,0,0,94,94,90,0,0,0,588,921,5,5,9,91,83,17,1,22,41,28,14,55,45,8,2,6,34,30,24,9,62,2,5,16,0,6,10,13,29,87,6,10,11,40,41,12,4,28,66,3,0,4,85,1,49,85,99,99,520,197,524,272,316,303,340,14925,22,22,22,23,9,1,1,0,1,10,20,28,29,10,1,2,0,0,3,0,24,13,94,6,55,82,12,1,1,0,0,0,5,1,0,42,19,22,4,68,84,84,83,78,80,74,44,95,99,1,14,12,5,15,18,0,1,15,0,13,2,1,3,1,0,9,10,6,3,7,23,9,7,6,1,4,3,6,4,3,2,2,4,85,3,0,140,2,4,23,30,11,21,9,11,25,4,10,22,2,3,2,9,15,2,39,0,0,58,0,5,1,8,0,0,5,4,1,1,0,1,2,0,0,6,25,91,3,2,3,98,51,10,1,8,0,10,84,99,99,0,5,8,43,1,56,0,0,0,99,0,99,99,97,8,0,0,2,9706,9606,9604,9604,9603,9602,9601,NA,NA,9510,9508,NA,NA,NA,9503,9502,9412,9411,9411,9410,9409,NA,NA,"L3E","S3E","S3E","S3E","S2E","A1E","A1E"," "," ","L1D","L1D"," "," "," ","A1D","A1D","A1D","A1D","A1D","A1D","A1D"," "," ",27,9702,70,6,14,NA,NA,NA,NA,NA,NA,NA,NA,9512,9509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,18,11,1,8806,25,9112,10,9512,8609,8703,6,6.6111111111,30263,"0",1,"L",3,"E","X","X","X",33,"A"
"1527",8601,"SPH",2,"MO","65276"," "," ",1604,"0","X"," "," "," ","XXXX","R3",53,82,"E","U"," "," "," "," ",NA,3,"F",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,31,19,36,4,6,1,NA,12," ",2,NA," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",NA,"X",705,199,289,0,0,99,46,54,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,51,55,43,52,55,21,41,39,20,9,18,14,12,11,16,19,19,17,31,19,14,42,19,40,29,35,36,18,6,2,63,5,15,17,160,234,77,76,1,11,10,0,4,4,0,317,331,2,1,76,24,91,9,0,28,69,61,23,82,18,4,0,4,9,26,2,17,49,32,0,1,0,0,0,0,3,11,0,2,41,51,53,13,4,11,0,11,10,11,0,3,0,0,0,12,0,229,604,191,247,223,282,9549,42,24,11,18,5,1,0,0,0,23,28,13,27,8,1,0,0,0,41,5,51,17,40,60,8,68,23,0,0,0,0,0,6,3,0,33,23,29,5,63,58,72,47,66,43,78,75,74,0,3,5,5,2,6,12,0,2,18,6,12,15,9,9,6,0,5,23,5,3,6,16,8,1,4,0,3,8,8,4,4,6,1,9,70,9,1,120,24,11,49,7,3,3,2,2,19,1,15,4,0,0,0,14,31,0,19,19,36,6,0,2,1,54,0,0,3,0,0,0,0,0,0,0,0,0,87,99,1,0,1,90,49,19,8,27,1,6,15,39,55,45,0,0,76,6,16,0,0,2,96,4,94,99,96,4,2,4,6,9706,9606,9604,NA,9603,9602,9601,9511,9510,9510,9508,9507,9506,9504,9503,NA,9501,9411,NA,NA,9409,NA,9406,"L1E","S2E","S2E"," ","S2D","S3D","S3D","S4E","S4E","S4E","S4E","S4E","S4E","S3E","S2E"," ","S2E","A1D"," "," ","A1D"," ","A1D",32,9702,111,5,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9603,NA,NA,NA,9501,NA,NA,NA,9409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,9,NA,NA,NA,10,NA,NA,236.5,26,14,3,9412,20,9102,11,9603,8608,8706,10,9.0961538462,6879,"0",1,"L",1,"E","X","X","X",60,"D"
